User ID,User Public Address,Number Auctions,Total Spent,Total Cashback (95%),Total Gas
d2b8c6e0-7165-4627-b8c1-e642ee717d50,0x8c2a3566ba0bc2b478e7971ec0b6d06e9e78c0ef,5,739.28,702.3159999999999,291.62
d2de219d-4981-4f85-aa6c-e361ffa1ec89,0xeb7e9dd1cc8fc745bf0652e13e0816afc1c763fa,7,668.1,634.695,344.75
d37a14ef-ced5-405b-a018-887ea1e72560,0x3e2a873cfe13ce15fa04790b8bb690baec01902a,7,700.0,665.0,275.61
d43d9718-2a3d-4fa3-b3f6-d24539b2295a,0xd072298cc0e06c26740b20c5d57ea5af1d06f6ed,107,11610.0,11029.5,4612.96
d646ef65-5cd3-4adf-a586-eaad9982e923,0xa959d8bf3f5cf373378f594b57bb5059e960027d,49,7572.3,7193.6849999999995,1798.95
db46de39-7b45-4188-b52d-3fa13050f00b,0x9b0f046cfeef29378798c77d4c568a937d4a41e2,3,291.28,276.716,70.13
df056b70-4a1e-4cdc-9cb7-aa89e9b43435,0x4653cd00b5b4f9a75269c51492d91d5d7108e5cb,17,2095.65,1990.8675000000003,788.08
e007ef8c-a276-49a5-81e9-f2e50acd0c46,0xa35513e8c108e11a4295b5977592ad0bbb67a12a,1,100.0,95.0,15.05
e1a31e97-8de9-43a0-a139-fc9267abef2c,0x4a0e801bc0f42f6d8efd5e488472af10b8aee91e,105,10088.01,9583.6095,2691.47
e1be887d-63ce-4c7b-8987-b7faa70f8690,0xf29def6093968d8921554d0f1e385f5df4cb574f,231,24061.72,22858.634000000002,9529.72000000001
e32242f2-5e6b-410e-9125-78902c3e13f7,0x906ada9c52fc8b2612609607e3bec010123929fc,2,200.0,190.0,66.14
ebfe67eb-afbb-4089-88a0-12ad1c6ff342,0x6080d9751df385c5babb01f602bd93080e356c0e,6,576.07,547.2665000000001,219.56
fa923ef1-aa85-438f-a55b-7debee1a57e8,0xc20122e283e1ffeb56ff6d77e739637d5eb03193,19,4040.79,3838.7504999999996,1055.64
fbc0e66a-7b06-4598-a71c-644c7610f816,0x3d9438fa77202ac7f78c4ea584e6af7a880f026a,1,99.36,94.39200000000001,37.92
fd279109-8dd6-47d7-9c9f-c173155c6fed,0x206f62c781a80569ef9fabf0e0558707ce738dd7,31,3514.0,3338.3,2577.08
